LAT,LON,X==EW,Y==NS,Z,SLIP
-31.4565,-72.0093,-36.0485,15.7987,17.54,3.0756
-31.3491,-71.996,-34.8269,27.7448,17.54,3.8292
-31.2417,-71.9827,-33.5975,39.6907,17.54,5.1169
-31.1343,-71.9695,-32.3699,51.6365,17.54,6.6683
-31.0269,-71.9562,-31.1394,63.5822,17.54,7.4608
-30.9195,-71.943,-29.9059,75.5277,17.54,6.5526
-30.8121,-71.9297,-28.6695,87.473,17.54,4.97
-30.7047,-71.9165,-27.4301,99.4182,17.54,3.5017
-30.5973,-71.9032,-26.1879,111.3632,17.54,2.6634
-30.4899,-71.89,-24.9475,123.3081,17.54,2.3826
-30.3825,-71.8767,-23.6898,135.2529,17.54,2.2754
-30.2751,-71.8635,-22.4484,147.1974,17.54,0.5454
-30.1677,-71.8502,-21.185,159.1419,17.54,0.3129
-30.0603,-71.837,-19.9379,171.0861,17.54,0.8553
-29.9529,-71.8237,-18.6735,183.0302,17.54,0.0304
-29.8455,-71.8105,-17.4158,194.9742,17.54,0.028
-32.4309,-72.0411,-38.6964,-92.5558,20.405,0.1368
-32.3235,-72.0279,-37.5017,-80.6094,20.405,0.0228
-32.2161,-72.0146,-36.2852,-68.6631,20.405,0.1484
-32.1087,-72.0013,-35.0751,-56.7169,20.405,0.2087
-32.0013,-71.9881,-33.8667,-44.7709,20.405,0.1124
-31.8939,-71.9748,-32.6411,-32.825,20.405,0.5382
-31.7865,-71.9616,-31.4314,-20.8793,20.405,1.4956
-31.6791,-71.9483,-30.1998,-8.9338,20.405,2.8274
-31.5717,-71.9351,-28.9842,3.0116,20.405,3.52
-31.4643,-71.9218,-27.7466,14.9569,20.405,3.4561
-31.3569,-71.9086,-26.525,26.902,20.405,4.254
-31.2495,-71.8953,-25.2863,38.8469,20.405,4.6038
-31.1421,-71.8821,-24.0493,50.7917,20.405,6.0072
-31.0347,-71.8688,-22.8095,62.7363,20.405,6.2536
-30.9273,-71.8556,-21.5667,74.6808,20.405,5.3443
-30.8199,-71.8423,-20.3209,86.6252,20.405,3.8054
-30.7125,-71.8291,-19.0723,98.5693,20.405,1.3307
-30.6051,-71.8158,-17.8208,110.5134,20.405,0.6247
-30.4977,-71.8026,-16.5711,122.4572,20.405,0.5533
-30.3903,-71.7893,-15.309,134.401,20.405,0.8634
-30.2829,-71.7761,-14.0536,146.3445,20.405,0.1549
-30.1755,-71.7628,-12.781,158.288,20.405,0.289
